portfolio_store_id,portfolio_name,portfolio_city,scraped_store_id,scraped_name,scraped_city,scraped_tier,scraped_type,match_method,distance_m
CHC300R_062,DIYA AL DIN ENTERPRISE,SELANGOR DARUL EHSAN.,ChIJfU5_i2lNzDER1dRZx2LmVpo,Diyal Al Din Enterprise,Shah Alam,Tier 1,Super - Indie retail,place_id,7.5
CHC300R_182,PASAR RAYA SMART,BANDAR BARU BANGI,ChIJu6-nZD_JzTERF7iQNBwwZSQ,Pasaraya SMart,Bandar Baru Bangi,Tier 1,Conv - Indie mart,coords≤50m,44.8
CHC300S_002,SYARIKAT SUI HOH CHAN,KAPAR 41400 KLANG,ChIJbZdVi2hWzDERg_EBhvpBxLM,Asia Mart KAPAR,Klang,Tier 1,Super - Indie retail,coords≤50m,42.9
CHC300S_028,PASAR MINI SIN LIAN HUAT,41200 KLANG,ChIJF6GOoJeszTERyqTeSqB4cIY,Pasar Mini Sin Lian Huat,Klang,Tier 1,Super - Independent local,place_id,64.2
CHC300S_036,KEDAI UBAT DAN RUNCIT SHUN TAT,,ChIJFT62gW5VzDERpqPfN_X5zNM,99 Speedmart 2808 Klang Utama 3,Klang,Tier 1,Conv - 99 Speedmart,coords≤50m,33.3
CHC300S_040,SRI MEENAS ENTERPRISE,41050 KLANG,ChIJ3UTrZwBXzDERvswoS3Zs3QY,Pasar Mini Sri Meenas • Sri Meenas Enterprise,Kapar,Tier 1,Conv - Mini-mart,coords≤50m,28.6
CHC300S_042,SARAVANAS,SELANGOR DARUL EHSAN.,ChIJe1_iaP2LzDERKRFHcBkZElU,B7 RAJALINGAM RESOURCE,Batang Berjuntai,Unclear,Super - Other / unclear,coords≤50m,21.9
CHC300S_059,PASAR MINI SIJANGKANG,"TELOK PANGLIMA GARANG,",ChIJ-wtEqKKuzTERegh6SnAx1Mo,Pasar Sabtu Sijangkang,Telok Panglima Garang,Unclear,Super - Other / unclear,place_id,947.5
CHC300S_067,SYARIKAT SENG ONN,,ChIJhf3duEJTzDERqveK7SflSxo,Bh Petromart,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",Tier 1,Conv - Indie mart,coords≤50m,23.2
CHC300S_138,SIN SWEE HING,SELANGOR DARUL EHSAN.,ChIJVVFXN-lgzDERmh4-D0nWLps,Pasaraya Seng Siang,Batang Berjuntai,Unclear,Super - Other / unclear,coords≤50m,23.9
CHC300S_141,CHOP SIONG HUAT,SELANGOR DARUL EHSAN.,ChIJVVFXN-lgzDERmh4-D0nWLps,Pasaraya Seng Siang,Batang Berjuntai,Unclear,Super - Other / unclear,coords≤50m,23.4
CHC300S_150,SIANG ANN SUPERMARKET,SELANGOR DARUL EHSAN.,ChIJp_AA_kOrzTERl_kFsr54bxI,Siang Ann Supermarket,Pelabuhan Klang,Tier 1,Super - Independent local,place_id,5.6
CHC300S_210,SIN BAN ANN,,ChIJ89JuSZPzzDERzqoqhyOQeIk,Rahmaniyah minimarket,Kuala Selangor,Tier 1,Super - Independent local,coords≤50m,18.0
CHC300S_216,PASAR MINI SRI EHSAN,,ChIJ6d2ZrNmyzTERhbYgGuJ6Re8,Pasar Mini Sri Ehsan,Shah Alam,Tier 1,Super - Independent local,place_id,7.0
CHC300S_261,PASAR MINI H.K.S,,ChIJZamzn7dVzDERE40Rjn79I6I,99 Speedmart 1228 Taman Sementa Utama,Klang,Tier 1,Conv - 99 Speedmart,coords≤50m,42.9
CHC300S_265,S.N.S.ALI DAN ANAK-ANAK (SEK20 SHAH ALAM),,ChIJuzAZDUNNzDERFXGmtpSH3gs,Pasaraya Borong SNS Ali,Shah Alam,Unclear,Super - Other / unclear,coords≤50m,6.9
CHC300S_279,PASAR RAYA SENG SIANG,SELANGOR DARUL EHSAN.,ChIJVVFXN-lgzDERmh4-D0nWLps,Pasaraya Seng Siang,Batang Berjuntai,Unclear,Super - Other / unclear,coords≤50m,23.4
CHC300S_302,SOLEH MINI MART,"PUCHONG,",ChIJ1QmZ6LO2zTERS06xiJi8NAs,SOLEH MINI MART,Puchong,Tier 1,Super - Indie retail,place_id,3.4
CHC300S_450C,SETIA PRICE (M) SDN. BHD.(RAJA NONG),"41200 KLANG, ",ChIJtV8K_eSszTERaorY-xKrIvM,Pel Enterprise,Klang,Tier 2,Conv - Indie retail,coords≤50m,46.6
CHC300S_522,STAR GROCER SDN. BHD.,CYBERJAYA SELANGOR.,ChIJCa1aCmC3zTER75a_2pejsTE,Star Grocer Cybersquare - Cyberjaya,Cyberjaya,Tier 1,Super - Sundry/grocer,coords≤50m,3.4
CHC300S_546,PUSAT BORONG MATAHARI (KTP) SDN. BHD.,,ChIJfREkRUZVzDER_assS71Bs7A,QCP GROCER (KLANG) SDN. BHD. (TELUK PULAI),Klang,Tier 1,Super - Sundry/grocer,coords≤50m,45.6
CHC300S_615,KEDAI UBAT SINLUEN FAT,,ChIJX7hNU4pRzDERzpiu3BGAEVI,99 Speedmart 1007 Pekan Meru 1,Klang,Tier 1,Conv - 99 Speedmart,coords≤50m,23.4
CHC300S_643,PASAR MINI SUBAHAN,,ChIJl3suB0IHzTERHoAFm7yN_zk,Kedai Runcit Subahan,Pulau Indah,Tier 1,Conv - Kedai runcit,coords≤50m,27.5
CHC300S_648,SENG MINI MARKET PLT,45600 BATANG BERJUNTAI,ChIJbbBPyulgzDERBOPmTP0F9qQ,Seng Mini Market PLT,Bestari Jaya,Tier 1,Conv - Mini-mart,coords≤50m,20.4
CHC300S_816,SUPER SEVEN TRADE CENTER (PUCHONG) SND. BHD.,"47130 PUCHONG,",ChIJwez8LACzzTERPB3T2hUU87g,SUPER SEVEN PUCHONG,Puchong,Unclear,Super - Other / unclear,coords≤50m,17.1
CHC300S_891,PASARAYA BORONG SUPER 7 - PUNCAK ALAM,"BANDAR HILLPARK, PUNCAK ALAM,",ChIJjZGcIW9bzDERsUVnwocnR3I,Super Seven Puncak Alam,Puncak Alam,Unclear,Super - Other / unclear,coords≤50m,6.3
CHC300S_931,ST ROSYAM MART SDN. BHD.,"43500 SEMENYIH,",ChIJ6TeRawDPzTERW1w686lWxAo,ST Rosyam Mart (Semenyih),Semenyih,Tier 1,Super - Indie retail,place_id,133.0
CHC300T_091,TH SUPER MART (2),63000 CYBERJAYA,ChIJOcllrgK3zTER8xeXriRQZ_8,7 Eleven,Dengkil,Tier 1,Hyper - Other regional chain,coords≤50m,35.1
CHC300T_103B,TF VALUE-MART (USJ 19),SUBANG JAYA,ChIJTR_b6pSzzTERiRWakXjiQnU,TF Value-Mart Subang USJ,Subang Jaya,Tier 1,Super - TF Value,coords≤50m,49.1
CHC300T_120,TWO U CONVENIENCE SHOP,"TAMAN DESA PALMA,",ChIJnaLOxBTHzTERscQX7z1jP5g,MF Hussain Mart,Nilai,Tier 1,Conv - Indie mart,coords≤50m,13.5
CHC300T_129,PASARAYA HAMMAD,,ChIJl8G7xim3zTERav5mW3M_UFk,Pasaraya Hammad,Putrajaya,Unclear,Super - Other / unclear,place_id,22.0
CHC300T_274,TH SUPER MART,SELANGOR DARUL EHSAN.,ChIJj-eNZ-e2zTERqvvmc6yNZmk,NZ Mart,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",Tier 1,Conv - Indie mart,coords≤50m,21.5
CHC300T_308,TANISHA ENTERPRISE,"47100 PUCHONG,",ChIJuRoUKwCzzTERPRCENugw6qg,Kedai Runcit Hani Madu,Puchong,Tier 1,Conv - Kedai runcit,coords≤50m,34.0
CHC300T_359,KEDAI RUNCIT TIGA SERANGKAI,"42000 PELABUHAN KLANG,",ChIJvVRm6furzTERwJhUW18jgpQ,Faruddin maju enterprise,Pelabuhan Klang,Tier 2,Conv - Indie retail,coords≤50m,32.0
CHC300U_023,UR JOY MART MINIMARKET,,ChIJJZbnMvKtzTERAQvHW29MNJM,"KK Super Mart Klang, Taman Raja Nong ( KRN )",Klang,Tier 1,Conv - KK Mart,coords≤50m,24.4
CHC300V_028,VIOMAX SDN. BHD.,KLANG,ChIJeVjN41ytzTERTAshKsFVidc,ECONSAVE Mart Taman Seri Indah,Klang,Tier 1,Conv - Indie mart,coords≤50m,25.2
CHC300W_002,KEDAI UBAT & P/M WENG HONG ONN SDN.BHD,40400 SHAH ALAM,ChIJZ8S3AKyyzTERzXiLAOq5D6w,Pasar Mini Lakshmi,Shah Alam,Tier 1,Super - Independent local,coords≤50m,15.1
CHC300W_008,PASARAYA WAH FONG SDN.BHD.,JALAN PUCHONG PUCHONG,ChIJi19aZg9LzDERnBAzIiPMP1A,Pasar Raya Wah Fong,Puchong,Unclear,Super - Other / unclear,coords≤50m,7.5
CHC300W_148,PASARAYA WAI HONG SDN. BHD.,"43300 SERI KEMBANGAN,",ChIJiVnC40a1zTER2SsotVxKli4,Daily Fresh Food Market 日日来新鲜肉类食品,Seri Kembangan,Unclear,Super - Other / unclear,coords≤50m,23.1
CHC300X_003,ST NOOI TRADING,,ChIJf4N6C_GtzTERp7Zx0Wg9Xts,PVR mini market,Klang,Tier 1,Conv - Mini-mart,coords≤50m,2.2
CHC300Y_015,YIN ONN TON,SELANGOR DARUL EHSAN.,ChIJpbvtefUBzTERkI82QZugEZI,Kim Chin Guan Enterprise,Pulau Ketam,Tier 2,Conv - Indie retail,coords≤50m,27.3
CHC300Y_024,KEDAI UBAT YUN ONN,,ChIJEz3pK6xTzDERzmNtUyrDH1A,"Farmers Green House, Taman Eng Ann",Klang,Unclear,Super - Other / unclear,coords≤50m,32.1
CHC300Y_147,YK SEMENTA TRADING,"KLANG,",ChIJF8hvG4JVzDER6pYy6Yf_irc,PASAR MINI HIJAU DUA JAYA,Klang,Tier 1,Super - Independent local,coords≤50m,10.4
CHC300Y_152,YAOYA GROCER SDN. BHD.,"PUCHONG,",ChIJR_lN77u1zTERnAQkMe0mnyE,MALMART SAUJANA PUCHONG,Puchong,Tier 1,Super - Indie retail,coords≤50m,12.8
CHC300Z_004,KEDAI RUNCIT ZURINAH (MERU),,ChIJFRlCiFlRzDERTFx30MQyV5I,Kedai Runcit Zurinah,Klang,Tier 1,Super - Sundry/grocer,place_id,931.4
CHC300Z_005,KEDAI RUNCIT ZURINAH (3),40170 SHAH ALAM,ChIJjwD-RsFTzDERuiWSS-ZYBps,99 Speedmart 1413 Setia Alam 2,Shah Alam,Tier 1,Conv - 99 Speedmart,coords≤50m,26.1
CHC300Z_009,PASARAYA ZAHIR,45000 KUALA SELANGOR,ChIJBTcJfgD1zDERZOkbGZjFG_U,DSS ACE ENTERPRISE,Kuala Selangor,Tier 2,Conv - Indie retail,coords≤50m,27.1
CHCCT3211005912,CHOP HOE GUAN,43100 KAJANG SELANGOR,ChIJqSD2uF4wzDERXOeumb7Tpfg,syarikat perniagaan soon huat（Kedai Runcit Panjang）,Pekan Batu 18,Tier 1,Conv - Kedai runcit,coords≤50m,5.6
CHCCT3211005913,SYKT PERNIAGAAN SOON HUAT,43100 KAJANG  SELANGOR,ChIJqSD2uF4wzDERXOeumb7Tpfg,syarikat perniagaan soon huat（Kedai Runcit Panjang）,Pekan Batu 18,Tier 1,Conv - Kedai runcit,coords≤50m,33.1
CHCCT3211005979,ZAI ENTERPRISE,SELANGOR DARUL EHSAN,ChIJFx9OCwAxzDERPDrZWLbHS0Y,Kedai runcit97,Hulu Langat,Tier 1,Super - Sundry/grocer,coords≤50m,9.6
CHCCT3211006064,JUMMA MINI MART,43200 CHERAS  SELANGOR,ChIJR5tBO1o0zDER50Y4XrNSQWg,E One Mart,Cheras,Tier 1,Super - Indie retail,coords≤50m,49.4
CHCCT3211006110,PASARAYA CHOP LEE KWAN (DP) SDN. BHD.,56000 CHERAS  KUALA LUMPUR,ChIJb8CFTDs1zDERjzf6OuDr2zQ,Pasar Mini Rezeki,Kuala Lumpur,Tier 1,Super - Independent local,coords≤50m,11.0
CHCCT3211006258,MAHA MINI MARKET,53300 KUALA LUMPUR,ChIJLdK3zhI3zDERKQOX2CmeQ1M,99 Speedmart 1673 Pandan Perdana 3,Kuala Lumpur,Tier 1,Conv - 99 Speedmart,coords≤50m,23.2
CHCCT3211006297,WENG SOON MINI MART,56100 KUALA LUMPUR,ChIJRSCwc4M2zDER-nl8yWe_jbY,Weng Soon Mini Market,Ampang,Tier 1,Conv - Mini-mart,coords≤50m,2.7
CHCLN11,GEDUNG PEMBORONG - S7(CJ),"43200 CHERAS,",ChIJx-5NDzDLzTERytAi0dBWPh8,NSK Trade City Kajang,Kajang,Tier 2,Super - NSK,coords≤50m,21.6
CHCLT10,PASARAYA BORONG NSK,"SHAH ALAM,",ChIJq18TOLeyzTERd5sOx-0-0nE,"NSK Supermarket Taman Sri Muda,Shah Alam",Shah Alam,Tier 2,Super - NSK,coords≤50m,46.8
CHCMN52,NSK TRADING SDN BHD - KLANG,"KLANG, BANDAR DIRAJA,",ChIJU-yFvuKszTERej02ypQGenU,NSK - Jalan Sungai Jati,Klang,Tier 2,Super - NSK,coords≤50m,45.2
CHCTSTA56032,PASARAYA AJ DAMAI,CHERAS KUALA LUMPUR,ChIJLTw4rK01zDERYhpZd-E_Tnk,"KK Super Mart Cheras, Bandar Damai Cheras ( CDC )",Cheras,Tier 1,Conv - KK Mart,coords≤50m,10.3
CHCTSTB56004,KEDAI BAN CHEONG *,KUALA LUMPUR,ChIJa0gU8881zDERru83Y17zLjg,KK SUPER MART Yulek (YLK),Kuala Lumpur,Tier 1,Conv - KK Mart,coords≤50m,43.2
CHCTSTF56008,KEDAI UBAT&RUNCIT FOOK SENG ENTERPRISE,KUALA LUMPUR,ChIJL1xXKgA3zDERZ9A1SjVTv1I,Kedai Ubat & Runcit Young Sheng Sdn Bhd,Ampang Jaya,Tier 2,Conv - Indie retail,coords≤50m,22.4
CHCTSTS56018,PASAR RAYA SONG FOOK SDN BHD,KUALA LUMPUR,ChIJBUwgyIU2zDERkAmdQV97y0I,Pasar Raya Song Fook,Cheras,Unclear,Super - Other / unclear,coords≤50m,18.2
CHCTSTV59002,TFP RETAIL SDN. BHD.,KLANG,ChIJ1fxRut9OzDEROA6iJj37zF8,TFP Retail Sdn. Bhd.,Petaling Jaya,Unclear,Super - Other / unclear,place_id,36.4
CHCW042,WAN LEE HENG CASH & CARRY SDN. BHD.,KUALA LUMPUR.,ChIJyaiWQyNIzDERZpkMjEMoxH0,Wan Lee Heng Cash & Carry Sdn Bhd,Kuala Lumpur,Tier 1,Super - Indie retail,coords≤50m,20.3
CT0000001218,JAZCO SPEEDMART (KANCHONG DARAT),BANTING,ChIJ8T4SQ3qjzTERN_tOZafrbHY,Jazco Supermarket Kanchong Darat,Banting,Tier 1,Super - Independent local,coords≤50m,19.2
CT0000001287,KEDAI RUNCIT ZURINAH,,ChIJjefhc2VRzDER9_d0gWx_7bg,Eco-Shop Setia Taipan,Shah Alam,Unclear,Super - Other / unclear,coords≤50m,16.7
CT3211004891,PULAU KETAM MINI MARKET,,ChIJpbvtefUBzTERkI82QZugEZI,Kim Chin Guan Enterprise,Pulau Ketam,Tier 2,Conv - Indie retail,coords≤50m,1.7
CT3211004974,PASAR MINI NAINA MOHAMED,"KLANG,",ChIJfb8T66VUzDERHc4thc_K1Jw,Badurun Traders,Klang,Unclear,Super - Other / unclear,coords≤50m,5.8
CT3211004977,HUMAINI MAJU SDN. BHD.,,ChIJFbUM6_62zTERnxD_8a_Na6Y,Good Day,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",Unclear,Super - Other / unclear,coords≤50m,20.8
CT3211005256,NZ GROCER SDN. BHD.,PERSIARAN HARMONI  CYBER 3  CYBERJAYA,ChIJ8cuJohu3zTER3TR9krreLDw,"KK Super Mart Cyberjaya, Cambridge Tower ( CCT )",Cyberjaya,Tier 1,Conv - KK Mart,coords≤50m,21.3
CT3211005357,R RAHMAN TRADING SDN. BHD.,,ChIJBdOFF3RLzDER7e6UJzeFrds,KK Super Mart Taman Kinrara (3) (KRR3),Puchong,Tier 1,Conv - KK Mart,coords≤50m,45.1
CT3211005362,PASAR MINI NANA,,ChIJBdOFF3RLzDER7e6UJzeFrds,KK Super Mart Taman Kinrara (3) (KRR3),Puchong,Tier 1,Conv - KK Mart,coords≤50m,45.0
CT3211005382,LSF TRADING SDN. BHD.,,ChIJSVFEyXw1zDERQEnbsWu0_m0,Checken Meat Shop,Kuala Lumpur,Unclear,Super - Other / unclear,coords≤50m,37.0
CT3211005390,ALIDA ENTERPRISE,,ChIJTbd2VEhLzDERbaUi8Go_Q-8,Muskaan Sabah Enterprise,Puchong,Tier 1,Super - Indie retail,coords≤50m,13.1
CT3211005453,PASAR MINI NEESA,47000 PUCHONG,ChIJAfVxes-3zTER6JLcp6anc1k,KIB mart,Puchong,Tier 1,Super - Indie retail,coords≤50m,11.4
CT3211005489,V.S.VARUSAI IBRAHIM & CO.,,ChIJgwPW0H3OzTER4_K0w_do3_s,Pasar Mini Sri Rama,Semenyih,Tier 1,Super - Independent local,coords≤50m,19.8
CT3211005550,CHEN FENG MEDICINE ENTERPRISE,43200 CHERAS,ChIJl1b3Lf80zDERTl1_QuqIkRs,99 Speedmart 1674 Taman Cheras Mas,Cheras,Tier 1,Conv - 99 Speedmart,coords≤50m,48.1
CT3211005553,RDM JAYA ENTERPRISE,PUCHONG,ChIJKQC2f2qzzTERHw5v64cUf6M,Kk supermart g superstore (PCP),Puchong,Tier 1,Conv - KK Mart,coords≤50m,25.1
CT3211005599,KEDAI UBAT & PASAR MINI FU XIANG,CHERAS,ChIJXSOkLyE1zDERWDK8W-qvrw8,TRD STORE 添润多超市,编码:,Unclear,Super - Other / unclear,coords≤50m,34.3
CT3211005634,KEDAI RUNCIT AKAS,58000 KUALA LUMPUR.,ChIJW7zU--5LzDERim1j2MD6eYI,SP MINI MART,Kuala Lumpur,Tier 1,Super - Indie retail,coords≤50m,20.6
CT3211005642,PASAR RAYA YOU YI SDN. BHD.,47600 SUBANG JAYA,ChIJsWk-GbpNzDER49rlt-WwDd4,Pasar Mini Brothers Mart,Petaling Jaya,Tier 1,Super - Independent local,coords≤50m,21.5
CT3211005665,PASAR SEGAR MUBARAK,43300 SERI KEMBANGAN  SELANGOR D. E.,ChIJ25KkZqhKzDER3y2gmtpFB08,Pasaraya Shop-in,Seri Kembangan,Unclear,Super - Other / unclear,coords≤50m,19.0
CT3211005688,PASAR RAYA C T MART SDN BHD,JALAN PUCHONG,ChIJ5QyN05C1zTERoWCiUEbyEcI,99 Speedmart 1157 Bandar Puchong Utama 1,Puchong,Tier 1,Conv - 99 Speedmart,coords≤50m,47.0
CT3211005697,G.U.S. (M) SDN. BHD.,,ChIJOy0GBF-1zTER-aMWx5TLhOU,Grand Union Supermarket Seri Kembangan,Seri Kembangan,Tier 1,Super - Independent local,coords≤50m,0.5
CT3211005698,KEDAI UBAT & RUNCIT JIN CHEONG,43300 SERDANG,ChIJfyzHu1q1zTEROICgRqVZa9U,99 Speedmart 1281 Taman Bukit Serdang 1,Seri Kembangan,Tier 1,Conv - 99 Speedmart,coords≤50m,46.7
CT3211005699,KEDAI UBAT DAN RUNCIT KAR HUAT,43300 SERI KEMBANGAN,ChIJaykZz1u1zTERSwIoUrChXR4,Kedai Ubat Weng Soon Hong,Seri Kembangan,Tier 1,Conv - Generic kedai,coords≤50m,13.1
CT3211005701,KEDAI UBAT & RUNCIT WENG SOON HONG S/B,43300 SERI KEMBANGAN,ChIJaykZz1u1zTERSwIoUrChXR4,Kedai Ubat Weng Soon Hong,Seri Kembangan,Tier 1,Conv - Generic kedai,coords≤50m,5.0
CT3211005723,SUPER EIGHT MINI MARKET,43300 SERI KEMBANGAN,ChIJxYgIih_LzTERLfe70AFC8r4,Super 8 Mini Market,Seri Kembangan,Tier 1,Super - Independent local,coords≤50m,33.1
CT3211005727,PASAR MINI ANGKASA JAYA,,ChIJDRWJ9NlMzDERG6IU3mCYMoo,Pasar Mini Angkasa Jaya,Subang Jaya,Tier 1,Super - Independent local,place_id,0.2
CT3211005731,PASAR MINI AMAN MAJU,58200 KUALA LUMPUR.,ChIJ-ycihIVLzDERdWmzf2vxMlM,Tuulyn Market - Parklane OUG (Old Klang Road),Kuala Lumpur,Unclear,Super - Other / unclear,coords≤50m,43.6
CT3211005735,PASARAYA & KEDAI UBAT BAN ON TONG S/B,BATU 7 1/2  JALAN PUCHONG,ChIJLYcn7A5LzDERWqjUfcCknZk,Pasaraya & Kedai Ubat Ban On Tong Sdn Bhd,Puchong,Tier 1,Super - Indie retail,place_id,12.9
CT3211005769,R & B SUPERMART,,ChIJs29-MXVNzDEReBy4TEhgqc0,RR Basket subang jaya,Subang Jaya,Unclear,Super - Other / unclear,coords≤50m,19.0
CT3211005772,PASAR MINI LEIN FONG,47100 PUCHONG,ChIJYQG67F1LzDER2UBMyq_iGIo,Pasar Mini Lein Fong,Puchong,Tier 1,Super - Independent local,place_id,12.5
CT3211005818,PASAR MINI MURNI JAYA,43000 KAJANG,ChIJob6ZiT3NzTERFa6w25kDmic,"Econsave Taman Indah, Sungai Jelok - Pasar Ekonomi Mart",Kajang,Tier 1,Conv - Indie mart,coords≤50m,18.2
CT3211005832,NEWJAYA SUPERMARKET SDN. BHD.,BALAKONG,ChIJtQPw1tDLzTEROV_0CuL-23Q,99 Speedmart 1183 Taman Taming Jaya,Balakong,Tier 1,Conv - 99 Speedmart,coords≤50m,47.1
CT3211005840,PASAR MINI SGF,56000 CHERAS,ChIJjS-4gqU1zDER2JsdGFzDIqo,KK Super Mart Taman Bukit Angsana (TBA2),Cheras,Tier 1,Conv - KK Mart,coords≤50m,26.8
CT3211005862,BHAS ENTERPRISE,SUBANG JAYA,ChIJG99wQ9BNzDERJ5YMlFvmxM4,Selangor Open,Subang Jaya,Unclear,Super - Other / unclear,coords≤50m,3.4
CT3211005867,CS BROTHERS SDN. BHD. TUN PERAK,,ChIJezJH8Pw0zDERxO9RA14H3WU,Pasaraya CS Cheras (Tun Perak),Cheras,Unclear,Super - Other / unclear,coords≤50m,9.2
CT3211005905,PASARAYA PUCHONG HERBS & FOOD SDN. BHD.,47100 PUCHONG,ChIJg25temCzzTERAVyTBC2xeHg,Pasaraya Puchong Herbs & Food Supermarket,Puchong,Tier 1,Super - Independent local,place_id,27.2
CT3211005947,PASAR MINI DAN UBAT BAO JIAN SL,JALAN CHERAS,ChIJ58stw6g0zDER3bUiYhNhcro,99 Speedmart 1079 Sungai Long 1,Kajang,Tier 1,Conv - 99 Speedmart,coords≤50m,4.9
CT3211005949,PASARAYA CH (SG. LONG ) SDN. BHD.,KAJANG,ChIJt0Wmtag0zDEReJKI1QpYnGI,Pasaraya Ch (Sg Long) Herbs Grocer Wine Liquor,Kajang,Tier 1,Super - Sundry/grocer,coords≤50m,31.2
CT3211005950,CHUAN HENG TRADING COMPANY,,ChIJg4igjoHLzTERgoTXpZ_7iDE,Chuan Heng Trading Co.,Kajang,Tier 1,Super - Indie retail,place_id,49.0
CT3211005964,KEDAI UBAT DAN PASARMINI HING ONN SDN. BHD.,JALAN CHERAS,ChIJ58stw6g0zDER3bUiYhNhcro,99 Speedmart 1079 Sungai Long 1,Kajang,Tier 1,Conv - 99 Speedmart,coords≤50m,43.4
CT3211005966,PASARAYA SERI BANGI,SELANGOR DARUL EHSAN.,ChIJx8anOCzLzTERjLjU_n-vdaA,AEON MaxValu Prime Evo Bangi,Bandar Baru Bangi,Drop (direct-served),Super - National chain,coords≤50m,21.6
CT3211005995,CHECKERS HYPERMARKET SDN. BHD.(SERI SENTOSA),OFF JALAN KLANG LAMA,ChIJ-bAVDwdLzDERNkPOMQahN7g,Checkers Sri Sentosa,Kuala Lumpur,Unclear,Super - Other / unclear,coords≤50m,38.8
CT3211006004,PASARAYA AKAU SDN BHD,PUCHONG BATU 14  MAJU JAYA,ChIJmRLCN3mzzTERNUzUYx1RVs8,Pasaraya Akau Sdn. Bhd.,Puchong,Unclear,Super - Other / unclear,coords≤50m,25.1
CT3211006041,HOCK MEI TRADING SDN. BHD.,,ChIJm9hWIADJzTERS_6ZHfncmwc,HOCK MEI TRADING SDN.BHD (BANGI),Bandar Baru Bangi,Tier 1,Super - Indie retail,coords≤50m,33.6
CT3211006042,PASARAYA YAN SENG SDN. BHD.,CHERAS,ChIJZW40jaI0zDERlC-whGazRPw,Yan Seng Supermarket,Cheras,Tier 1,Super - Independent local,coords≤50m,29.4
CT3211006053,CS BROTHERS SDN. BHD. KAJANG,TMAN SAUJANA PERMAI,ChIJm8oTWL3MzTERSp4-M5ZDjdM,Pasaraya CS Kajang (Saujana Permai),Kajang,Unclear,Super - Other / unclear,coords≤50m,45.9
CT3211006076,PASARAYA BAN SOON SDN. BHD.,"BANDAR SERI PUTRA KAJANG,",ChIJ11Ek37HIzTERtfeVOqaWbpg,Pasaraya Ban Soon Sdn. Bhd.,Kajang,Unclear,Super - Other / unclear,place_id,16.2
CT3211006077,PASARAYA BORONG PINTAR SDN. BHD.,,ChIJmblz3WI1zDER7RLuvL4hIJE,Saaka Nilai Sg Besi (SNSB),Kuala Lumpur,Unclear,Super - Other / unclear,coords≤50m,4.3
CT3211006106,PASAR RAYA FM,,ChIJHwNc91ZTzDERzRIDXDoc3MU,99 Speedmart 1740 Taman Melawis,Klang,Tier 1,Conv - 99 Speedmart,coords≤50m,45.7
CT3211006125,VISPPER SDN. BHD.,PUCHONG,ChIJtX5nt36zzTERPFAMzjSQNYg,Huat Soon Fresh Mart,Puchong,Tier 1,Super - Indie retail,coords≤50m,36.4
CT3211006129,JAMIL BIN ABDULLAH,KUALA LUMPUR.,ChIJSVFEyXw1zDERQEnbsWu0_m0,Checken Meat Shop,Kuala Lumpur,Unclear,Super - Other / unclear,coords≤50m,39.7
CT3211006168,XIN HWA GIAP CASH & CARRY,KAJANG,ChIJ3axe9YbMzTERjETisKUzvSA,Hwa Giap Cash and Carry,Kajang,Unclear,Super - Other / unclear,place_id,24.9
CT3211006178,G MART ONE SDN. BHD.,BANDAR BARU BANGI,ChIJBRWW6G_JzTERiMy3DuQJzPU,Gmart,Bandar Baru Bangi,Tier 1,Conv - Indie mart,coords≤50m,13.1
CT3211006221,TH RETAIL ENTERPRISE,PUCHONG,ChIJQX_vTQCzzTERw4H1mW12ibc,Pasar Segar PP MAJU JAYA,Puchong,Unclear,Super - Other / unclear,coords≤50m,24.7
CT3211006268,SS BEST MART,TAMAN BUKIT MEWAH,ChIJofW4BW7NzTER8QJQ4ABUSsc,99 Speedmart 3031 Taman Bukit Mewah 3,Semenyih,Tier 1,Conv - 99 Speedmart,coords≤50m,27.9
CT3211006422,PASARAYA SARA JAYA SDN. BHD.,CYBERJAYA,ChIJe3GvVf22zTERXvk8AcLFtN8,Roswel Mart Neo Cyber SepangCyberjayaSelangor Negeri SembilanGrocery/Vegetable/Mineral water,Cyberjaya,Tier 1,Super - Sundry/grocer,coords≤50m,33.5
CT3211006478,MAHAJEYAZ ENTERPRISE,PUCHONG,ChIJYQG67F1LzDER2UBMyq_iGIo,Pasar Mini Lein Fong,Puchong,Tier 1,Super - Independent local,coords≤50m,24.8
CT3211006479,PASARAYA RS BESTARI,SHAH ALAM,ChIJneuOjbdPzDER5bdyoUYVfXg,KK Super Mart,Shah Alam,Tier 1,Conv - KK Mart,coords≤50m,37.5
CT3211006499,SM SPEED MART,SEMENYIH  SELANG,ChIJ_RV8GwDPzTERX1FSBTjBzi8,KAB THIVYA ENTERPRISE,Semenyih,Tier 1,Super - Indie retail,coords≤50m,26.6
