portfolio_store_id,portfolio_name,portfolio_city,scraped_store_id,scraped_name,scraped_city,scraped_tier,scraped_type,match_method,distance_m
CHC300F_159,FARMERS GREEN HOUSE SDN. BHD.,"AMPANG,",ChIJ5bqFeyC7yDERVsmG8vAbmsk,"Farmers Green House, Bandar Kinrara",Puchong,Unclear,Super - Other / unclear,coords≤50m,18.1
CHC300F_180,FRESCA MARKETING SDN. BHD.,"PERSIARAN SEPANG, CYBER 11,",ChIJERtmJQC3zTERRk6oM-ylnKU,Fresca Mart Cyberjaya,Cyberjaya,Tier 1,Super - Indie retail,coords≤50m,20.3
CHC300G_012,GQ SERVICES & RESOURCES,,ChIJY3jenOe5zTER8q3v9IeBdQs,99 Speedmart 2150 Taman Seri Delima,Dengkil,Tier 1,Super - 99 Speedmart,coords≤50m,46.6
CHC300G_020,G.U.S. (TELOK) SDN BHD,TELOK PANGLIMA GARANG,ChIJQ8hJRgSvzTERulQEBtAQXAU,Pasaraya Grand Union (Telok),Telok Panglima Garang,Unclear,Super - Other / unclear,coords≤50m,44.9
CHC300G_103,GROCER ROSWEL RESOURCES SDN. BHD.,,ChIJe3GvVf22zTERXvk8AcLFtN8,Roswel Mart Neo Cyber SepangCyberjayaSelangor Negeri SembilanGrocery/Vegetable/Mineral water,Cyberjaya,Tier 1,Super - Sundry/grocer,coords≤50m,4.9
CHC300G_182,GRAB & GO D MART,"43900 SEPANG,",ChIJp_2bp9RLzDERgSTVjP1pqhI,"KK SUPER MART Seksyen 14, Petaling Jaya (S142)",Petaling Jaya,Tier 1,Conv - KK Mart,coords≤50m,41.3
CHC300H_028,SUNSEEN TRADING,SELANGOR DARUL EHSAN.,ChIJLYcn7A5LzDERWqjUfcCknZk,Pasaraya & Kedai Ubat Ban On Tong Sdn Bhd,Puchong,Tier 1,Super - Indie retail,coords≤50m,6.4
CHC300H_043,HUP JOO,,ChIJiYpmo0tXzDER95eEu5ySlnY,Poh shen marketing,Kapar,Unclear,Super - Other / unclear,coords≤50m,42.0
CHC300H_067,KEDAI HENG HUAT CHAN,,ChIJAAAAAAAAAAARwKiNcIIwBgo,KK Super Mart Taman Berkeley (BKL),Klang,Tier 1,Conv - KK Mart,coords≤50m,12.8
CHC300H_118,KEDAI UBAT DAN RUNCIT HARMONI,,ChIJZ8S3AKyyzTERzXiLAOq5D6w,Pasar Mini Lakshmi,Shah Alam,Tier 1,Super - Independent local,coords≤50m,16.5
CHC300H_204,KEDAI HONG HUAT,KUALA LUMPUR.,ChIJa0gU8881zDERru83Y17zLjg,KK SUPER MART Yulek (YLK),Kuala Lumpur,Tier 1,Conv - KK Mart,coords≤50m,47.6
CHC300H_305,HAVVA MINI MART,KAJANG,ChIJt4UmB9vLzTERBQbdGdchQZ8,"KK SUPER MART Reko, Kajang ( RKJ2)",Kajang,Tier 1,Conv - KK Mart,coords≤50m,26.5
CHC300H_333,HASIL LAUT SEONG KEE (KOTA KEMUNING),"SHAH ALAM,",ChIJJ-pR2v-zzTERpXabCWUNNJs,You & Me Trading,Shah Alam,Tier 1,Super - Indie retail,coords≤50m,34.2
CHC300H_338,KEDAI RUNCIT HAIKAL JAYA,"41200 KLANG,",ChIJiSIVV5yszTERBpTTR9gI804,Kedai Runcit Haikal Jaya,Klang,Tier 1,Super - Sundry/grocer,place_id,153.5
CHC300H_340,HOCK MEI TRADING SDN. BHD.,"46000 PETALING JAYA,",ChIJQ_XLWr3JzTEREAv6yj7oIlY,PASARAYA HM (Taman Medan PJ Branch),Petaling Jaya,Unclear,Super - Other / unclear,coords≤50m,5.0
CHC300H_350,PASARAYA HAMEEDS (M) SDN. BHD.,"SEPANG,",ChIJla2Dp3y5zTEROCrwTPUrMDI,PASAR RAYA AHMAD,Sepang,Unclear,Super - Other / unclear,coords≤50m,15.5
CHC300H_366,PASARAYA HAJI,"SHAH ALAM,",ChIJnbNZGW5RzDERqOZXJqhAvzY,"Pasar Mini Smart, Setia Taipan",Shah Alam,Tier 1,Super - Independent local,coords≤50m,5.7
CHC300I_040,IMANS BEST MART,BANDAR PUNCAK ALAM  K. SELANGOR,ChIJ84l5u0RZzDERSOTg00CsM7o,Imans Best Mart,Puncak Alam,Tier 1,Super - Indie retail,place_id,11.1
CHC300I_163,KEDAI UBAT DAN PASARAYA IJOK WEI POH,IJOK,ChIJefAv4H9fzDER08dAASv6AxM,Kedai Ubat Dan Pasaraya Ijok Wei Poh,Bukit Rotan,Tier 1,Conv - Generic kedai,coords≤50m,7.1
CHC300I_164,PASAR SEGAR IKHWAN,57000 KUALA LUMPUR.,ChIJcaPNYng1zDERUL41wkx-Loc,PASAR SEGAR BSB,Kuala Lumpur,Unclear,Super - Other / unclear,place_id,352.1
CHC300I_170,ISTYLEZ EXCLUSIVE TRADING,"KLANG,",ChIJ6Qp3s_dVzDERRtwq9FhDQiA,"KK Super Mart Klang, Bandar Bukit Raja (2) ( KRJ2)",Klang,Tier 1,Conv - KK Mart,coords≤50m,25.5
CHC300J_033,PASAR MINI IBU,,ChIJj1jdlSRfzDERJl0TiAZKoVQ,Pasar Mini Ibu,Jeram,Tier 1,Super - Independent local,place_id,9.4
CHC300J_045,JAZCO SPEEDMART (TAMAN BAIDURI),42700 BANTING,ChIJ_WTOwT-lzTERuO8J1OvbyqM,"KK Super Mart Banting, Taman Baiduri ( BBD)",Banting,Tier 1,Conv - KK Mart,coords≤50m,9.4
CHC300K_010,KEDAI UBAT LUEN FAT,,ChIJX7hNU4pRzDERzpiu3BGAEVI,99 Speedmart 1007 Pekan Meru 1,Klang,Tier 1,Conv - 99 Speedmart,coords≤50m,42.0
CHC300K_019,PASARAYA JAYMUDA BB,,ChIJVVFXN-lgzDERmh4-D0nWLps,Pasaraya Seng Siang,Batang Berjuntai,Unclear,Super - Other / unclear,coords≤50m,22.9
CHC300K_020,ARISE PHARMACY SDN. BHD.,TAMAN PUCHONG PRIMA,ChIJ1QMbLH-zzTER91TEHl-sek0,KK Super Mart Pusat Perdagangan Puchong Prima ( PPM ),Puchong,Tier 1,Conv - KK Mart,coords≤50m,22.5
CHC300K_023,SYARIKAT KANG KHOW SDN. BHD.,,ChIJOTDTSwarzTERTP-Qf3hGXgU,Syarikat Kang Khow Sdn. Bhd.,Pelabuhan Klang,Unclear,Super - Other / unclear,place_id,3.3
CHC300K_033,MGM SUPER MARKET SDN. BHD.,45000 KUALA SELANGOR,ChIJ67zvYJb0zDER3Dx9hluf7Us,Pasar Mini Ramli,Kuala Selangor,Tier 1,Conv - Mini-mart,coords≤50m,13.0
CHC300K_040,PASAR MINI KIEN FATT,45620 BATANG BERJUNTAI,ChIJW4J0OmFezDERuSp7I-2bqlQ,Pasar Mini Kien Fatt,Bukit Rotan,Tier 1,Conv - Mini-mart,coords≤50m,16.2
CHC300K_066,KEDAI KEAN FATT,,ChIJZaqNO5RSzDERePJLDlJjdzQ,"KK Super Mart Shah Alam, Seksyen 16 (SA16)",Shah Alam,Tier 1,Conv - KK Mart,coords≤50m,13.2
CHC300K_093,KONG FAAT TRADING,,ChIJqSvzbMdWzDERIeU0r7_ear0,KK Super Mart Jalan Meru Setia • JMS,Klang,Tier 1,Conv - KK Mart,coords≤50m,7.5
CHC300K_163,KIM CHUAN SENG ENTERPRISE,"42940 PULAU KETAM,",ChIJpbvtefUBzTERkI82QZugEZI,Kim Chin Guan Enterprise,Pulau Ketam,Tier 2,Conv - Indie retail,coords≤50m,20.9
CHC300K_183,KR SINNIAH & SON STORE,,ChIJw8KLGwarzTERXciNTxgpkDs,S. M. Jamal Store,Pelabuhan Klang,Unclear,Super - Other / unclear,coords≤50m,27.5
CHC300K_192,OCEANIC SUPER MART (2),"41050 KLANG,",ChIJ-cop81lRzDERIac4wJbg1MU,Oceanic Super Mart,Klang,Tier 1,Super - Independent local,place_id,47.9
CHC300K_210,SMT MINI MART,KLANG,ChIJd6wH0xlVzDERX1OYrgDdHqs,ECONSAVE Mart Taman Sementa Utama 1,Klang,Tier 1,Conv - Indie mart,coords≤50m,32.8
CHC300K_433,KLC MARKETING & SALES (M) SDN. BHD.,"KAJANG,",ChIJVXZf4dXNzTERDNYcT5nWdOU,Pembekal Talapia Merah Halalan Toyibban,Kajang,Unclear,Super - Other / unclear,coords≤50m,20.3
CHC300K_440,KIB MINI MART,"PUCHONG,",ChIJAfVxes-3zTER6JLcp6anc1k,KIB mart,Puchong,Tier 1,Super - Indie retail,place_id,3.8
CHC300K_442H,MEMI ZOOO ZOOO GROCER @ CHERAS LEN SENG,"CHERAS,",ChIJY0c9Jgc1zDER7MVQe2wnRsY,Memi ZoooZooo Grocer,Kuala Lumpur,Tier 1,Super - Sundry/grocer,coords≤50m,9.5
CHC300K_442L,MEMI ZOOO ZOOO @ BLOOMSVALE,58200 KUALA LUMPUR.,ChIJh18mDNtLzDERvPyqBI78fu8,CHECK POINT RESOURCES SDN BHD,Kuala Lumpur,Tier 1,Super - Indie retail,coords≤50m,49.9
CHC300K_458,KAY 9 ENTERPRISE,"43300 SERI KEMBANGAN,",ChIJtQPw1tDLzTEROV_0CuL-23Q,99 Speedmart 1183 Taman Taming Jaya,Balakong,Tier 1,Conv - 99 Speedmart,coords≤50m,28.1
CHC300K_461,KEDAI RUNCIT KANA TASYUKUR,SELANGOR.,ChIJe8_9BxszzDERdq26oUTlkmg,99 Speedmart 1409 Taman Perkasa,Taman Perkasa,Tier 1,Conv - 99 Speedmart,coords≤50m,36.3
CHC300L_018,SYARIKAT LIM YOU THO DAN ANAK2,SELANGOR DARUL EHSAN.,ChIJVVFXN-lgzDERmh4-D0nWLps,Pasaraya Seng Siang,Batang Berjuntai,Unclear,Super - Other / unclear,coords≤50m,23.9
CHC300L_038,LAKSHMI MINI MARKET,,ChIJZ8S3AKyyzTERzXiLAOq5D6w,Pasar Mini Lakshmi,Shah Alam,Tier 1,Super - Independent local,place_id,5.7
