store_id,place_id,store_name,address,city,region,lat,lng,rating,review_count,price_level,business_status,category,annual_sales_usd,lines_per_store,covered,source,phone,opening_hours,website,poi_count,google_types
ChIJAZC2qu_fiz4Rm32-ZYR_q6k,ChIJAZC2qu_fiz4Rm32-ZYR_q6k,MAKAM AL SHAM TRD,6FPV+CQ4,Ibri,Oman,23.2360201,56.4944614,0,0,0,Active,supermarket,0,0,FALSE,scraped,9319 6616,Monday: 8:00 AM – 11:00 PM | Tuesday: 8:00 AM – 11:00 PM | Wednesday: 8:00 AM – 11:00 PM | Thursday: 8:00 AM – 11:00 PM | Friday: 8:00 AM – 11:00 PM | Saturday: 8:00 AM – 11:00 PM | Sunday: 8:00 – 11:00 AM,,20,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']"
ChIJ30h_AABJjD4RIihjT-TrU_c,ChIJ30h_AABJjD4RIihjT-TrU_c,MAKKAH BIDIYAH EXPRESSWAY,RGC4+CH7,Al Mudayq,Oman,23.821235,57.5044031,3,2,0,Active,supermarket,0,0,FALSE,scraped,,,,7,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
ChIJCdLc8SaikD4R6qusjyEs2wU,ChIJCdLc8SaikD4R6qusjyEs2wU,Makkah Hypermarket,Sur,Oman,Oman,22.5788727,59.5030518,3.8,540,0,Active,supermarket,0,0,FALSE,scraped,9266 3996,Monday: 8:00 AM – 12:55 AM | Tuesday: 8:00 AM – 12:55 AM | Wednesday: 8:00 AM – 12:55 AM | Thursday: 8:00 AM – 12:55 AM | Friday: 8:00 AM – 12:55 AM | Saturday: 8:00 AM – 12:55 AM | Sunday: 8:00 AM – 12:55 AM,http://www.makkahhyper.com/,12,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']"
ChIJQfL9KxK-iz4RCa5rs1nwyNM,ChIJQfL9KxK-iz4RCa5rs1nwyNM,Makkah Hypermarket,"HGRV+HV8, Sohar -Yanqul Rd",Yanqul,Oman,23.5916156,56.5445143,3.8,458,0,Active,supermarket,0,0,FALSE,scraped,,Monday: 8:00 AM – 11:00 PM | Tuesday: 8:00 AM – 11:00 PM | Wednesday: 8:00 AM – 11:00 PM | Thursday: 8:00 AM – 11:00 PM | Friday: 8:00 AM – 11:00 PM | Saturday: 8:00 AM – 11:00 PM | Sunday: 8:00 AM – 11:00 PM,,20,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']"
ChIJYYJSKgBjiz4RMMwPKhU8G8s,ChIJYYJSKgBjiz4RMMwPKhU8G8s,Makkah Hypermarket,الحويل,Saham,Oman,24.1436991,56.8759283,3.7,560,0,Active,supermarket,0,0,FALSE,scraped,26 811124,Monday: 8:00 AM – 12:00 AM | Tuesday: 8:00 AM – 12:00 AM | Wednesday: 8:00 AM – 12:00 AM | Thursday: 8:00 AM – 12:00 AM | Friday: 8:00 AM – 12:00 AM | Saturday: 8:00 AM – 12:00 AM | Sunday: 8:00 AM – 12:00 AM,,20,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']"
ChIJaZ7lj3VDmj4R-IELbrU-OQ0,ChIJaZ7lj3VDmj4R-IELbrU-OQ0,Makkah Hypermarket Bani Bu Hassan,37WR+F7V,Jalan Bani Buhassan,Oman,22.096239,59.2906799,3.8,154,0,Active,supermarket,0,0,FALSE,scraped,,,,20,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']"
ChIJ920EhX9GjD4Rzz4feIkNUcg,ChIJ920EhX9GjD4Rzz4feIkNUcg,Makkah Hypermarket Suwaiq,suwaiq OM,Oman,Oman,23.8131829,57.4196345,3.8,225,0,Active,supermarket,0,0,FALSE,scraped,9321 4471,Monday: 8:00 AM – 12:00 PM | Tuesday: 8:00 AM – 12:00 PM | Wednesday: 8:00 AM – 12:00 PM | Thursday: 8:00 AM – 12:00 PM | Friday: 8:00 AM – 12:00 PM | Saturday: 8:00 AM – 12:00 PM | Sunday: 8:00 AM – 12:00 PM,,20,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
ChIJ1QRc1WLh0z0RZU8LrUwMYA8,ChIJ1QRc1WLh0z0RZU8LrUwMYA8,Makkah Mart,"34XW+CJ3, 31",Salalah,Oman,17.0985069,54.1465339,3.2,28,0,Active,supermarket,0,0,FALSE,scraped,9198 6788,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,,16,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']"
ChIJ7zFrtSI1jD4RCb3mMBKPEug,ChIJ7zFrtSI1jD4RCb3mMBKPEug,Makkah Shopping,PJVF+X2W,Al-Musannah,Oman,23.7449924,57.6225698,3.8,73,0,Active,supermarket,0,0,FALSE,scraped,9416 3720,Monday: 8:00 AM – 11:00 PM | Tuesday: 8:00 AM – 11:00 PM | Wednesday: 8:00 AM – 11:00 PM | Thursday: 8:00 AM – 11:00 PM | Friday: 8:00 AM – 11:00 PM | Saturday: 8:00 AM – 11:00 PM | Sunday: 8:00 AM – 11:00 PM,https://www.facebook.com/Younus.Nabi101,20,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
ChIJjb5nY-9Dmj4Re20BqsmtTt0,ChIJjb5nY-9Dmj4Re20BqsmtTt0,MALMART JALAN BIN BU ALI,MALMART JALAN BUALI JALAN,Oman,Oman,22.0425098,59.3213459,5,3,0,Active,supermarket,0,0,FALSE,scraped,7998 1110,Monday: 8:30 AM – 10:30 PM | Tuesday: 8:30 AM – 11:30 PM | Wednesday: 8:30 AM – 11:30 PM | Thursday: 8:30 AM – 11:30 PM | Friday: 8:30 AM – 11:30 PM | Saturday: 8:30 AM – 11:30 PM | Sunday: 8:30 AM – 11:30 PM,,20,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']"
ChIJKxQUD3iDKzwRCHKoObzB-1A,ChIJKxQUD3iDKzwRCHKoObzB-1A,MANADHIR ZEEK COMMERCIAL MARKET,W7PG+X3,Miji,Oman,17.9374191,56.2752239,4,3,0,Active,hypermarket,0,0,FALSE,scraped,7179 0153,Monday: 8:00 AM – 11:30 PM | Tuesday: 8:00 AM – 11:30 PM | Wednesday: 8:00 AM – 11:30 PM | Thursday: 8:00 AM – 11:30 PM | Friday: 8:00 AM – 11:30 PM | Saturday: 8:00 AM – 11:30 PM | Sunday: 8:00 AM – 11:30 PM,,8,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
ChIJG1N8yGv_jj4RmCrWTNRpW9E,ChIJG1N8yGv_jj4RmCrWTNRpW9E,manah,QJV6+JR6,Manah,Oman,22.7942139,57.6120298,4.5,164,0,Active,supermarket,0,0,FALSE,scraped,,Monday: 8:00 AM – 11:30 PM | Tuesday: 8:00 AM – 11:30 PM | Wednesday: 8:00 AM – 11:30 PM | Thursday: 8:00 AM – 11:30 PM | Friday: 8:00 AM – 11:30 PM | Saturday: 8:00 AM – 11:30 PM | Sunday: 8:00 AM – 11:30 PM,,20,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']"
ChIJJy7XLRVlmj4RIZpvuPEiWfI,ChIJJy7XLRVlmj4RIZpvuPEiWfI,MANAR QALHAT SHOPPING CENTER,Al Kamil,Al kamil al wafi road,Oman,22.221036,59.2018042,0,0,0,Active,convenience_store,0,0,FALSE,scraped,9579 2608,,https://sites.google.com/view/alshuaibigroup/home,20,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
