store_id,store_name,address,postal_code,city,account,district,region,lat,lng,category,annual_sales_usd,lines_per_store,fsm,sr,rating,review_count,price_level,place_id,phone,opening_hours,website,enrichment_attempted
RBA2004636,ห้างหุ้นส่วนจำกัด เอ็น แอล ที เทรดดิ้ง 2554,17/36 ม.1 ต.หนองขาม อ.ศรีราชา,20230,Chon Buri,OTHERS (VAN),,East,13.14931,100.94611,OTHERS (VAN),"35,443.49",0.33,,RBAC02,,,,,,,,
RBA2004639,บริษัท ศรีธิคำ มาร์เก็ตติ้ง จำกัด,2/39 ม.12 ต.นาป่า อ.เมืองชลบุรี,20000,Chon Buri,MOM AND POP LARGE,,East,13.36397167,102.1926483,MOM AND POP LARGE,"44,906.52",2.25,,RBAC01,,,,,,,,
RBA2004642,บริษัท รีเจ้นท์ พัทยา แคมปัส แมเนจเม้นท์ จำกัด,14/5 ม.3 ต.สุรศักดิ์ อ.ศรีราชา,20110,Chon Buri,MOM AND POP LARGE,,East,13.3931307,101.2350859,MOM AND POP LARGE,"29,360.03",6.08,,RBAC02,,,,,,,,
RBA2004644,บริษัทฟาร์มสุกรพนัสโภคภัณฑ์ จำกัด,113 ม.3 ต.คลองกิ่ว อ.บ้านบึง,20170,Chon Buri,MOM AND POP LARGE,,East,,,MOM AND POP LARGE,"168,733.44",0.67,,RBAC02,,,,,,,,
RBA2004651,ร้านนายดี งามเลิศ,85/28 ม.10 ต.หนองปรือ  อ.บางละมุง,20150,Chon Buri,OTHERS (VAN),,East,13.393125,101.2350767,OTHERS (VAN),"589,585.02",3.75,,RBAC02,,,,,,,,
RBA2004655,บริษัทแฮปปี้ฮับ จำกัด(สาขา 1),88/88 ถนน บางคล้า-แปลงยาว ต.บางคล้า  อ.บางคล้า,24110,Chon Buri,OTHERS (VAN),,East,13.374715,101.0120833,OTHERS (VAN),"22,965.89",4.25,,RBAC04,,,,,,,,
RBA2004657,เฮียสมบูรณ์,188/73 ม.2 ต.มาบข่า อ.นิคมพัฒนา,21180,Chon Buri,WHOLESALE,,East,13.34507333,100.9848283,WHOLESALE,"5,007,598.98",27.08,,RBAC02,,,,,,,,
RBA2004659,ร้านโลมามินิมาร์ท,237-239-241-243-245 ถนน ชุมพล ต.หน้าเมือง  อ.เมืองฉะเชิงเทรา,24000,Chon Buri,MOM AND POP LARGE,,East,13.33023833,101.08085,MOM AND POP LARGE,"5,259.70",1,,RBAC04,,,,,,,,
RBA2004660,ร้านตั้งจุ่งฮวด,217/1 หมู่.10 ซอย8 ถนน พัทยาสาย2 ต.หนองปรือ อ.บางละมุง,20150,Chon Buri,SUPERMARKET,,East,13.39307333,101.23503,SUPERMARKET,"9,688.32",0.58,,RBAC02,,,,,,,,
RBA2004662,ร้านบึงทองสโตร์,"517,519 ถนน ชลบุรี-บ้านบึง ต.บ้านบึง อ.บ้านบึง",20170,Chon Buri,SUPERMARKET,,East,12.95641667,100.891055,SUPERMARKET,"6,782.26",0.17,,RBAC02,,,,,,,,
