city,place_id,name,name_norm,address,lat,lng,types,banner,format,reckitt_target
"RECIFE, PE",,Secretaria de Comunicação,secretaria deunicacao,"Rua Dez de Novembro, 73 - Carmo, Olinda",-8.018971,-34.85047910000001,"local_government_office,point_of_interest,establishment",Independente / Sem chain identificado,Órgão Público,EXCLUDE
"RECIFE, PE",,M&F Estofados e Capotaria Ltda.,m&f estofados e capotaria.,"Avenida Doutor Joaquim Nabuco, 1385 - Jatobá, Olinda",-8.0195254,-34.85368459999999,"furniture_store,home_goods_store,store,point_of_interest,establishment",Independente / Sem chain identificado,Loja de Móveis,EXCLUDE
"RECIFE, PE",,Gabat Baterias,gabat baterias,"Avenida Olinda Dom Hélder Câmara, 381 - Santa Tereza, Olinda",-8.0213217,-34.8576133,"car_repair,store,point_of_interest,establishment",Independente / Sem chain identificado,Automotivo,EXCLUDE
"RECIFE, PE",,Secretaria Educação Cultura,secretaria educacao cultura,"Rua Quinze de Novembro, 184 - Varadouro, Olinda",-8.0190709,-34.8528629,"point_of_interest,establishment",Independente / Sem chain identificado,Outros,EXCLUDE
"RECIFE, PE",,Itapemirim Turismo,itapemirim turismo,"Rua Quinze de Novembro, 39 - Varadouro, Olinda",-8.0195147,-34.8541173,"travel_agency,point_of_interest,establishment",Independente / Sem chain identificado,Agência de Viagens,EXCLUDE
"RECIFE, PE",,Posto Dislub Olinda,posto dislub olinda,"Avenida Olinda Dom Hélder Câmara, 234 - Santa Tereza, Olinda",-8.020755900000001,-34.85684739999999,"gas_station,point_of_interest,establishment",Posto (genérico),Posto / Conveniência,EXCLUDE
"RECIFE, PE",,Caixa Eletrônico Banco 24 Horas,caixa eletronico banco 24 horas,"Posto Petrobras - Avenida Olinda Dom Hélder Câmara, 150 - Loja 02 - Santa Tereza, Olinda",-8.020286799999997,-34.85593579999999,"atm,finance,point_of_interest,establishment",Independente / Sem chain identificado,Outros,EXCLUDE
"RECIFE, PE",,"Solar da Marquesa do Monte Alegre, Varadouro & Myllagres","solar da marquesa do monte alegre, varadouro & myllagres","Avenida Doutor Joaquim Nabuco, 05 - Varadouro, Olinda",-8.019454199999998,-34.8538681,"art_gallery,point_of_interest,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,Faroltec Refrigeração,faroltec refrigeracao,"Avenida Olinda Dom Hélder Câmara, 366 - Santa Tereza, Olinda",-8.0210555,-34.85752159999999,"point_of_interest,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,Assembléia de Deus,assembleia de deus,"Rua Duarte Coelho, 120 - Santa Tereza, Olinda",-8.022861599999999,-34.860288,"church,place_of_worship,point_of_interest,establishment",Independente / Sem chain identificado,Igreja,EXCLUDE
